Movie Title,Director,Main Cast
Casablanca,Michael Curtiz,"Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains, Conrad Veidt, Sydney Greenstreet, Peter Lorre, S.Z. Sakall, Madeleine Lebeau, Dooley Wilson, Joy Page, John Qualen, Leonid Kinskey, Curt Bois, Abdullah Abbas, Enrique Acosta, Ed Agresti, Arnet Amos, Louis V. Arco, Frank Arnold, Brandon Beach, Leon Belasco, Nino Bellini, Trude Berliner, Oliver Blake, Monte Blue, Eugene Borden, Dick Botiller, Maurice Brierre, Anita Camargo, George M. Carleton, Spencer Chan, Melie Chang, Tex Cooper, Gino Corrado, Franco Corsaro, Adrienne D'Ambricourt, Marcel Dalio, Helmut Dantine, Jean De Briac, George Dee, Jean Del Val, Carl Deloro, Joseph DeVillard, Arthur Dulac, William Edmunds, Herbert Evans, Fred Farrell, O.K. Ford, Martin Garralaga, Gregory Gaye, Gregory Golubeff, Ilka Grüning, Creighton Hale, Winifred Harris, Jamiel Hasson, Arthur Stuart Hull, Olaf Hytten, Paul Irving, Kay Koury, Charles La Torre, Louise Laureau, George J. Lewis, Max Linder, Manuel Lopez, Jacques Lory, Lou Marcelle, Michael Mark, Tony Martelli, Frank Mazzola, George Meeker, Lal Chand Mehra, Hercules Mendez, Louis Mercier, Torben Meyer, Mike Morelli, Alberto Morin, Leo Mostovoy, Corinna Mura, Sol Murgi, Barry Norton, Monty O'Grady, Lotte Palfi Andor, Paul Panzer, Manuel París, Rene Pedrini, Alexander Pollard, Paul Porcasi, Frank Puglia, Georges Renavent, Dewey Robinson, Victor Romito, Henry Rowland, Richard Ryen, Dan Seymour, Nick Shaid, Lester Sharpe, Bhogwan Singh, Dina Smirnova, Gerald Oliver Smith"
Vertigo,Alfred Hitchcock,"James Stewart, Kim Novak, Barbara Bel Geddes, Tom Helmore, Henry Jones, Raymond Bailey, Ellen Corby, Konstantin Shayne, Lee Patrick, David Ahdar, Isabel Analla, Jack Ano, Margaret Bacon, John Benson, Danny Borzage, Margaret Brayton, Paul Bryar, Boyd Cabeen, Steve Conte, Jean Corbett, Bruno Della Santina, Roxann Delman, Harry Denny, Molly Dodd, Bess Flowers, Raoul Freeman, Joe Garcio, Joanne Genthon, Kenneth Gibson, Don Giovanni, Roland Gotti, Victor Gotti, Fred Graham, Robert Haines, Buck Harrington, Alfred Hitchcock, Jimmie Horan, Art Howard, Catherine Howard, June Jocelyn, Perk Lazelle, John Marlin, Miliza Milo, Lyle Moraine, Forbes Murray, Julian Petruzzi, Ezelle Poule, Kathy Reed, William Remick, Jack Richardson, Jeffrey Sayre, Nina Shipman, Dori Simmons, Ed Stevlingson, Sara Taft, Bert McKay, Olive Long"
Notorious,George Tillman Jr.,"Jamal Woolard, Momo Dione, Derek Luke, Dennis L.A. White, Marc John Jefferies, Menyone DeVeaux, Christopher Jordan Wallace, Ricky Smith, Amanda Christopher, Angela Bassett, Jasper Briggs, Cyrus Farmer, David Costabile, Julia Pace Mitchell, Red Café, Naquon 'Nino Brown' Jackson, Naturi Naughton, Aunjanue Ellis-Taylor, Jason Croasdaile, Valence Thomas, Edwin Freeman, Kevin Phillips, John Ventimiglia, Cimone Campbell, Duane Cooper, Anthony Mackie, Miya Granatella, Charles Malik Whitfield, Susie Da Silva, Antonique Smith, Sean Hall-Earl, Jelani Mashariki, Tony Mui, Atalya Slater, John Hills, Lamont 'Money L' Mosley, Ginger Kroll, Hisham Tawfiq, John Sierros, Sean Ringgold, Marco Best, Erskine Bonilla, KeShauna Meikea, Andre Roberson, Donté Kinsey, Adre'an Simms, Brandi Nicole Feemster, Corey Browne, Nina Daniels, Grant Hayes, Denae Innis, Brandon Bailey, Taylor Dior, Cheryl Alessio, Tyra Allen, Joseph Basile, Cameron Bhola, Hasan Bivings, Michael Bostwick, Jonathan Gabriel Charles, Shawntay Dalon, Rico Devereaux, Carlitos Do Souto, Sarah Donnelly, Jason DarkChocolate Dyer, D.J. Enuff, John Farrer, Philip Field, Landon G. Woodson, Anwan Glover, Fatimah Hassan, Allen Holloway, Antoine Holmes Sr., Mike Hurt, Osas Ighodaro, Elvis Jaquez, Melissa Joseph, Alina Kaufman, Chris Kelley, Langley Lamark, Ebony J Lewis, Dee Martin, Monica Moore, Alan Mueting, Sharron Paul, Richard Pryor, Gordon Ramsey, Jessica Rich, Ahmad Russ, Dymond Scoby, Craig Scribner, Harry L. Seddon, Usman Sharif, Jessica Noel Smith, Lisa Stansbury, Jen Steele, Karl Thwaites, Simone Vicari, Norman Wakefield, Laurie Walker, Tracy 'Twinkie' Byrd, Pamela Frazier, Mike Styles, Eric Arriola, Lori Eastside, Christopher Gray, Kenneth Guity, Robert Oppel, Cash Oshman, Tuffy Questell, Parker Randal, Zoe E. Rotter, Ryan Torres, Christian Kaplan"
Fanny and Alexander (re-release),Ingmar Bergman,"Kristina Adolphson, Börje Ahlstedt, Pernilla Allwin, Kristian Almgren, Carl Billquist, Axel Düberg, Allan Edwall, Siv Ericks, Ewa Fröling, Patricia Gélin, Majlis Granlund, Maria Granlund, Bertil Guve, Eva von Hanno, Sonya Hedenbratt, Olle Hilding, Svea Holst, Jarl Kulle, Käbi Laretei, Mona Malm, Lena Olin, Gösta Prüzelius, Christina Schollin, Hans Strååt, Pernilla August, Emelie Werkö, Gunn Wållgren, Inga Ålenius, Marianne Aminoff, Harriet Andersson, Mona Andersson, Hans Henrik Lerfeldt, Jan Malmsjö, Marianne Nielsen, Marrit Ohlsson, Kerstin Tidelius, Anna Bergman, Gunnar Björnstrand, Nils Brandt, Lars-Owe Carlberg, Gus Dahlström, Ernst Günther, Hugo Hasslo, Heinz Hopf, Maud Hyttenberg, Sven-Erik Jacobsson, Marianne Karlbeck, Kerstin Karte, Tore Karte, Åke Lagergren, Sune Mangs, Per Mattsson, Lickå Sjöman, Ryno Wallin, Georg Årlin, Daniel Bell, Gunnar Djerf, Folke Eng, Ebbe Eng, Evert Hallmarken, Nils Kyndel, Ulf Lagerwall, Börje Mårelius, Karl Nilheim, Erland Josephson, Stina Ekblad, Mats Bergman, Viola Aberlé, Gerd Andersson, Ann-Louise Bergström, Matthias Bolliger, Marie-Hélène Breillat, Krister Hell, Linda Krüger, Mats Lindblom, Magnus Nordstrand, Margareta Pettersson, Michael Santiago, Marie-Louise Sid, Peter Stormare, Pernilla Wahlgren"
Singin' in the Rain,"Stanley Donen, Gene Kelly","Gene Kelly, Donald O'Connor, Debbie Reynolds, Jean Hagen, Millard Mitchell, Cyd Charisse, Douglas Fowley, Rita Moreno, Dawn Addams, John Albright, Betty Allen, Sue Allen, John Angelo, Marie Ardell, Bette Arlen, David Bair, Jimmy Bates, Mary Bayless, Marcella Becker, Margaret Bert, Madge Blake, Lulu Mae Bohrman, Gail Bonney, Chet Brandenburg, Tex Brodus, Barbara Carroll, Gwen Carter, Bill Chatham, Lyle Clark, Mae Clarke, Dorinda Clifton, Harry Cody, Chick Collins, Pat Conway, Jeanne Coyne, Kirk Crivello, Ruby C. Currie, Roy Damron, Fred Datig Jr., Bert Davidson, Robert Dayo, Gloria Dea, Rudy Del Campo, Patricia Denise, Harry Denny, Kay Deslys, John Dodsworth, King Donovan, Michael Dugan, Phil Dunham, Helen Eby-Rock, Marietta Elliott, Richard Emory, Betty Erbes, Charles Evans, Luigi Faccuito, Tommy Farrell, Don Fields, Ernie Flatt, Bess Flowers, George Ford, Robert Fortier, Bill Foster, Dan Foster, Robert Foulk, Clair Freeman, Kathleen Freeman, Lance Fuller, Doris Fulton, Jeanne Gail, Glen Gallagher, Jon Gardner, Diane Garrett, Jack George, John George, Kenneth Gibson, Shirley Glickman, Mickey Golden, Inez Gorman, A. Cameron Grant, Beatrice Gray, Marion Gray, Robert Haines, William Hamel, Betty Hannon, Sam Harris, Jean Harrison, Timmy Hawkins, Jack Hendricks, Lars Hensen, Dean Henson, Jean Heremans, Stuart Holmes, Joyce Horne, Don Hulbert, Frank Hyers, Patricia Jackson, Ivor James, Morgan Jones, David Kasday"
Playtime,Jacques Tati,"Jacques Tati, Barbara Dennek, Rita Maiden, France Rumilly, France Delahalle, Valérie Camille, Erika Dentzler, Nicole Ray, Yvette Ducreux, Nathalie Jem, Jacqueline Lecomte, Oliva Poli, Alice Field, Sophie Wennek, Evy Cavallaro, Laure Paillette, Colette Proust, Luce Bonifassy, Ketty France, Eliane Firmin-Didot, Billy Kearns, Tony Andal, Yves Barsacq, André Fouché, Georges Montant, Georges Faye, John Abbey, Reinhard Kolldehoff, Michel Francini, Grégoire Katz, Jack Gauthier, Henri Piccoli, Léon Doyen, François Viaur, Douglas Read, Bob Harley, Jacques Chauveau, Gilbert Reeb, Marc Monjou, Billy Bourbon, André Badin, Patrick Balkany, Madeleine Bouchez, James Campbell, Marie-Pierre Casey, Paulette Frantz, Jean-Louis Castelli, André Dino, F. Doszpoly, Georges Ferrière, Marcel Franchi, J. Monseigny, André Morain, Paul Rodier, René Schneider"
Army of Shadows,Jean-Pierre Melville,"Lino Ventura, Paul Meurisse, Jean-Pierre Cassel, Simone Signoret, Claude Mann, Paul Crauchet, Christian Barbier, Serge Reggiani, André Dewavrin, Alain Dekok, Alain Mottet, Alain Libolt, Jean-Marie Robain, Albert Michel, Denis Sadier, Georges Sellier, Marco Perrin, Hubert de Lapparent, Colin Mann, Anthony Stuart, Michel Fretault, Gérard-Antoine Huart, Percival Russel, Michel Dacquin, Jeanne Pérez, Pierre Vaudier, Jacques Marbeuf, Franz Sauer, Marcel Bernier, Gaston Meunier, Françoise Bonnot, Adrien Cayla-Legrand, Nathalie Delon, Jacques Léonard"
City Lights,Charles Chaplin,"Virginia Cherrill, Florence Lee, Harry Myers, Al Ernest Garcia, Hank Mann, Charles Chaplin, Johnny Aber, Jack Alexander, T.S. Alexander, Victor Alexander, Albert Austin, Harry Ayers, Eddie Baker, Henry Bergman, Edward Biby, Betty Blair, Buster Brodie, Jeanne Carpenter, Marie Cooper, Tom Dempsey, Peter Diego, James Donnelly, Ray Erlenborn, Ruth Garcia, Milton Gowman, Robert Graves, Charles Hammond, Jean Harlow, Ad Herman, Joseph Herrick, Austen Jewell, Willie Keeler, A.B. Lane, Eddie McAuliffe, Leila McIntyre, George Nardelli, Margaret Oliver, Robert Parrish, Mrs. Pope, John Rand, Granville Redmond, Wyn Ritchie Evans, W.C. Robinson, James Sheldon, Cy Slocum, Tony Stabenau, Mark Strong, Jack Sutherland, Joe Van Meter, Emmett Wagner, Tiny Ward, Stanhope Wheatcroft, Al Ernest Garcia"
Moonlight,Paula van der Oest,"Hunter Bussemaker, Franck Sasonoff, Andrew Howard, David Bustard, Elvir Sabanovic, Laurien Van den Broeck, Johan Leysen, Stephen Tate, Quick, Jemma Redgrave, Sarah Markianidis, Emma Drews, Valerie Scott, Aurélie Petrini, Janine Horsburgh, Ann Overstall Comfort, Dean Gregory, Chris Bearne, Claire Johnston, Hanna-Lou Whitehouse, Romuald Groult, Halina Reijn, Emmanuelle Tonnerieux, Pieter Riemens, Denis Simonetta, Luc Schreiner, Marius Gottlieb, Job Gosschalk, Saida van der Reijd, Ineke de Vos"
Intolerance,D.W. Griffith,"Lillian Gish, Mae Marsh, Robert Harron, F.A. Turner, Sam De Grasse, Vera Lewis, Mary Alden, Eleanor Washington, Pearl Elmore, Lucille Browne, Julia Mackley, Miriam Cooper, Walter Long, Tom Wilson, Ralph Lewis, Lloyd Ingraham, A.W. McClure, John P. McCarthy, Monte Blue, Marguerite Marsh, Edward Dillon, Billy Quirk, Howard Gaye, Lillian Langdon, Olga Grey, Erich von Ritzau, Bessie Love, William H. Brown, George Walsh, W.S. Van Dyke, Margery Wilson, Eugene Pallette, Spottiswoode Aitken, Ruth Handforth, Allan Sears, Frank Bennett, Maxfield Stanley, Josephine Crowell, Constance Talmadge, W.E. Lawrence, Joseph Henabery, Chandler House, Elmer Clifton, Alfred Paget, Carl Stockdale, Tully Marshall, Dore Davidson, Taylor N. Duncan, Morris Levy, Seena Owen, Sylvia Ashton, George Beranger, Barney Bernard, Frank Borzage, Kitty Bradbury, John Bragdon, Karl Brown, Tod Browning, Frank Brownlee, Kate Bruce, Edward Burns, James Burns, David Butler, Ernest Butterworth, Frank Campeau, Jewel Carmen, Francis Carpenter, Peggy Cartwright, William E. Cassidy, Hazel Childers, Lotta Clifton, Dark Cloud, Constance Collier, Virginia Lee Corbin, Gino Corrado, Jack Cosgrave, William Courtright, Donald Crisp, James Curley, Ruth Darling, Max Davidson, Nigel De Brulier, Carol Dempster, The Denishawn Dancers, Charles Eagle Eye, Douglas Fairbanks, George Fawcett, Julia Faye, Clarence Geldert, Mildred Harris, Dell Henderson, Russell Hicks, Clyde E. Hopkins, DeWolf Hopper Sr., Luray Huntley, George James, Daisy Jefferson, Noble Johnson, Martin Landry, Robert Lawler"
The Rules of the Game,Jean Renoir,"Nora Gregor, Paulette Dubost, Mila Parély, Odette Talazac, Claire Gérard, Anne Mayen, Lise Elina, Marcel Dalio, Julien Carette, Roland Toutain, Gaston Modot, Jean Renoir, Pierre Magnier, Eddy Debray, Pierre Nay, Richard Francoeur, Léon Larive, Nicolas Amato, Jacques Beauvais, Henri Cartier-Bresson, Celestin, Tony Corteggiani, Geo Forster, Roger Forster, Camille François, Jenny Hélia, Maurice Marceau, Marcel Melrac, André Zwobada"
Pinocchio,Roberto Benigni,"Roberto Benigni, Nicoletta Braschi, Mino Bellei, Carlo Giuffrè, Peppe Barra, Franco Javarone, Max Cavallari, Bruno Arena, Corrado Pani, Kim Rossi Stuart, Luis Molteni, Alessandro Bergonzoni, Alfredo Cavazzoni, Vincenzo Bonanno, Marco Tullio Cau, Michele Mazzanti, Claudio Bellante, Massimo Bianchi, Giuliano Ghiselli, Fausto Marchini, Valerio Ceccarelli, Tommaso Bianco, Silvia Floridi, Franco Mescolini, Stefano Onofri, Giorgio Ariani, Donato Castellaneta, Lamberto Consani, Giovanni Febraro, Camillo Grassi, Luigi Delli, Paola Braschi de Giovanni, Riccardo Bizzarri, Giacomo Gonnella, Totò Onnis, Danilo Nigrelli, Dario Magi, Sandro Dori, Remo Masini, Giorgio Noè, Mario Orfei, Dodo Oltrecolli, Francesco Guzzo, Max Galligani, Stefano Scandaletti, Vincenzo Cerami, Franco Casaglieri, Andrea Nardi, Giorgio Fabbio, Michele Manuzzi, Tony Abatemarco, Tom Amundsen, Steve Apostolina, Jim Belushi, Erik Bergmann, Steve Bulen, John Cleese, Glenn Close, David Coburn, Rufus Collins, Peter Gerety, Topher Grace, Eddie Griffin, Nicholas Guest, Ray Iannicelli, Eric Idle, Kevin James, Matthew Labyorteaux, Cheech Marin, Steve Mellor, Breckin Meyer, Harry S. Murphy, Nicole Orth-Pallavicini, Bob Papenbrook, Giordano Petri, Regis Philbin, Queen Latifah, David Suchet, David H. Kramer"
Touch of Evil,Orson Welles,"Charlton Heston, Janet Leigh, Orson Welles, Joseph Calleia, Akim Tamiroff, Joanna Moore, Ray Collins, Dennis Weaver, Valentin de Vargas, Mort Mills, Victor Millan, Lalo Rios, Michael Sargent, Phil Harvey, Joi Lansing, Harry Shannon, Marlene Dietrich, Zsa Zsa Gabor, Joe Basulto, Ray Beltram, Eumenio Blanco, Yolanda Bojorquez, Joseph Cotten, Domenick Delgarde, Jennie Dias, John Dierkes, Eleanor Dorado, Eva Gabor, Jeffrey Green, Billy House, Johnny Kern, John Marlin, Mercedes McCambridge, Arlene McQuade, Ken Miller, Ralph Moratz, Ray Pourchot, Ramón Rodríguez, Gus Schilling, William Tannen, Wayne Taylor, Rusty Wescoatt, Dan White, Keenan Wynn"
